run,classic,clusters,claude,clusters_40v,clusters_60v
1,132,124,88,95,61
2,93,23,110,96,140
3,59,93,145,96,288
4,122,76,202,104,117
5,228,112,99,74,32
6,120,177,139,174,156
7,17,89,108,81,115
8,74,62,109,117,153
9,162,66,79,122,87
10,53,63,191,123,218
11,74,49,162,49,50
12,39,45,159,124,78
13,38,33,104,124,98
14,82,116,101,61,23
15,67,143,144,33,273
16,91,173,147,51,40
17,63,92,154,120,38
18,47,132,101,135,31
19,125,124,95,83,125
20,65,117,220,89,176
21,61,62,74,60,97
22,162,243,161,119,110
23,126,145,214,205,88
24,95,41,154,164,150
25,60,83,83,75,112
26,59,98,132,30,35
27,101,47,90,67,171
28,114,44,132,142,116
29,210,118,107,229,143
30,15,97,122,105,166
31,92,93,131,70,93
32,20,133,116,171,97
33,79,204,193,86,78
34,129,52,120,65,69
35,104,110,120,219,151
36,41,105,181,235,84
37,56,83,153,200,120
38,91,56,124,95,72
39,21,65,163,81,220
40,57,154,281,56,87
41,53,75,108,40,86
42,86,51,121,240,152
43,57,106,126,121,119
44,54,90,159,54,131
45,61,67,117,99,37
46,70,74,168,64,52
47,74,86,124,137,97
48,92,91,84,151,94
49,132,145,89,53,187
50,241,130,110,193,81
51,107,78,114,157,184
52,101,276,276,65,32
53,48,55,166,104,53
54,25,85,215,230,80
55,43,65,98,116,92
56,21,124,119,161,59
57,113,62,128,128,40
58,87,190,93,44,107
59,69,65,117,103,97
60,62,80,132,103,120
61,45,165,109,29,179
62,53,125,132,60,71
63,102,127,128,58,63
64,167,144,158,205,61
65,79,244,55,90,57
66,30,91,82,100,65
67,108,74,125,64,101
68,103,132,164,134,99
69,123,198,156,72,49
70,29,109,112,125,131
71,81,82,79,132,86
72,113,91,118,57,78
73,69,150,81,24,153
74,86,47,134,119,118
75,50,115,175,99,71
76,73,164,180,106,47
77,146,180,82,63,133
78,139,190,169,92,56
79,121,133,125,66,128
80,103,133,97,193,43
81,73,105,161,109,76
82,95,72,125,73,129
83,119,83,186,82,101
84,104,104,169,111,97
85,148,59,126,189,114
86,36,156,88,115,104
87,125,49,95,43,104
88,68,112,117,119,95
89,39,49,165,83,80
90,78,83,104,128,194
91,26,80,144,214,89
92,55,85,228,78,29
93,135,169,149,270,205
94,77,110,172,52,93
95,63,63,161,152,175
96,58,125,103,93,85
97,79,138,72,51,139
98,78,140,183,132,75
99,82,82,119,95,49
100,52,38,170,92,87
101,180,40,105,70,242
102,70,102,71,91,63
103,43,119,171,66,23
104,20,48,162,59,151
105,51,95,108,96,191
106,86,191,137,130,148
107,58,167,209,87,135
108,44,214,99,155,154
109,102,278,162,95,72
110,114,83,109,211,127
111,103,96,201,114,161
112,97,100,113,61,168
113,61,118,154,128,104
114,64,97,143,161,67
115,85,80,173,96,67
116,127,79,192,224,149
117,111,106,122,109,83
118,116,197,189,63,76
119,74,96,135,106,91
120,77,47,125,59,201
121,87,130,184,93,125
122,39,97,210,81,123
123,47,64,97,47,81
124,63,178,173,82,125
125,70,132,98,88,113
126,95,124,114,99,75
127,49,148,172,74,23
128,15,119,116,45,105
129,109,93,211,77,203
130,58,166,86,52,107
131,100,177,184,47,117
132,138,83,126,46,155
133,58,146,114,193,118
134,49,209,163,29,132
135,77,207,128,52,223
136,106,88,112,151,78
137,55,147,148,138,125
138,47,170,51,111,145
139,72,101,175,125,43
140,123,74,176,98,64
141,49,74,127,175,70
142,86,194,92,96,104
143,88,157,153,128,191
144,20,127,136,103,76
145,81,104,120,201,59
146,182,58,114,105,178
147,31,80,196,89,96
148,61,186,140,97,67
149,43,52,149,90,105
150,99,72,78,141,27
151,97,88,72,147,84
152,86,248,69,127,73
153,201,52,159,102,80
154,38,195,142,58,91
155,128,126,129,114,67
156,90,70,87,197,88
157,223,140,89,122,44
158,63,60,160,97,82
159,44,14,107,168,102
160,60,115,188,62,58
161,118,276,77,142,159
162,87,91,161,97,84
163,61,85,145,117,48
164,69,141,131,55,76
165,64,138,116,175,203
166,128,178,170,89,184
167,123,131,180,80,139
168,77,121,102,103,212
169,27,149,161,72,211
170,267,116,125,202,66
171,107,100,55,54,84
172,172,137,145,88,106
173,89,182,80,94,109
174,64,157,177,94,77
175,35,78,94,54,73
176,125,330,151,98,32
177,26,149,161,101,84
178,133,113,141,191,116
179,2,152,80,79,143
180,98,92,103,205,79
181,62,41,157,140,100
182,76,71,215,101,90
183,76,133,128,61,100
184,105,40,119,138,206
185,61,113,243,58,53
186,98,103,176,93,139
187,109,52,110,94,80
188,98,100,170,131,89
189,55,83,66,54,56
190,114,366,90,243,183
191,20,232,158,114,43
192,122,179,142,61,63
193,98,111,155,87,105
194,108,110,96,85,59
195,141,54,131,116,78
196,71,70,122,92,155
197,86,231,170,67,108
198,107,94,133,157,252
199,70,120,158,83,40
200,203,75,112,119,131
